Red,Green,Blue
0.446,0.305,0.249
0.439,0.303,0.258
0.433,0.304,0.263
0.433,0.311,0.255
0.444,0.315,0.241
0.461,0.317,0.222
0.474,0.316,0.210
0.482,0.313,0.205
0.488,0.310,0.202
0.493,0.303,0.203
0.497,0.299,0.204
0.497,0.300,0.204
0.495,0.301,0.204
0.492,0.306,0.202
0.491,0.308,0.201
0.497,0.307,0.196
0.499,0.310,0.191
0.503,0.309,0.189
0.508,0.304,0.188
0.517,0.293,0.189
0.521,0.286,0.193
0.522,0.277,0.201
0.517,0.270,0.213
0.507,0.269,0.224
0.496,0.274,0.230
0.489,0.285,0.226
0.490,0.290,0.220
0.495,0.293,0.212
0.497,0.302,0.201
0.497,0.314,0.189
0.500,0.308,0.192
0.500,0.313,0.187
0.497,0.322,0.182
0.493,0.324,0.184
0.468,0.323,0.210
0.445,0.327,0.227
0.437,0.340,0.223
0.449,0.347,0.204
0.484,0.333,0.183
0.500,0.333,0.167
0.506,0.333,0.161
0.512,0.345,0.143
0.518,0.337,0.145
0.519,0.346,0.136
0.520,0.333,0.147
0.507,0.329,0.164
0.500,0.324,0.176
0.485,0.333,0.182
0.484,0.328,0.187
0.478,0.328,0.194
0.494,0.346,0.160
0.500,0.352,0.148
0.505,0.351,0.144
0.504,0.365,0.130
0.496,0.376,0.128
0.493,0.373,0.134
0.476,0.366,0.159
0.452,0.348,0.200
0.513,0.295,0.192
0.506,0.292,0.202
0.498,0.291,0.211
0.485,0.292,0.223
0.477,0.291,0.233
0.472,0.296,0.232
0.467,0.299,0.234
0.464,0.297,0.238
0.456,0.292,0.252
0.449,0.292,0.259
0.447,0.291,0.262
0.510,0.249,0.241
0.480,0.266,0.254
0.430,0.292,0.278
0.388,0.309,0.303
0.387,0.309,0.304
0.382,0.314,0.303
0.373,0.325,0.302
0.379,0.329,0.292
0.368,0.348,0.284
0.361,0.366,0.273
0.351,0.380,0.269
0.444,0.279,0.277
0.446,0.278,0.276
0.443,0.279,0.279
0.441,0.279,0.279
0.443,0.278,0.280
0.447,0.278,0.276
0.455,0.283,0.262
0.460,0.289,0.251
0.462,0.290,0.248
0.451,0.289,0.259
0.460,0.282,0.259
0.457,0.285,0.258
0.446,0.288,0.266
0.441,0.283,0.276
0.431,0.285,0.285
0.444,0.286,0.271
0.453,0.287,0.260
0.457,0.283,0.260
0.456,0.285,0.259
0.455,0.287,0.257
0.452,0.290,0.258
0.455,0.288,0.258
0.440,0.269,0.291
0.445,0.261,0.294
0.462,0.251,0.287
0.487,0.243,0.270
0.507,0.238,0.255
0.511,0.239,0.250
0.504,0.248,0.248
0.496,0.257,0.248
0.494,0.258,0.248
0.501,0.251,0.247
0.509,0.243,0.247
0.508,0.238,0.254
0.490,0.241,0.269
0.473,0.245,0.282
0.463,0.247,0.290
0.449,0.249,0.302
0.432,0.252,0.316
0.417,0.255,0.328
0.408,0.254,0.338
0.399,0.255,0.347
0.389,0.258,0.353
0.389,0.261,0.351
0.391,0.265,0.345
0.395,0.265,0.341
0.394,0.267,0.340
0.394,0.267,0.340
0.394,0.265,0.341
0.411,0.275,0.314
0.431,0.265,0.304
0.457,0.255,0.288
0.480,0.243,0.276
0.498,0.236,0.266
0.509,0.238,0.253
0.506,0.253,0.241
0.494,0.275,0.231
0.474,0.305,0.222
0.407,0.341,0.251
0.401,0.349,0.250
0.402,0.352,0.246
0.416,0.345,0.238
0.410,0.348,0.242
0.397,0.351,0.252
0.397,0.343,0.260
0.389,0.339,0.272
0.380,0.337,0.283
